response_id	X2690fa5b_answers	X784169ae_answers	X05daeb6f_answers	X7a4218be_answers	X0837154b_answers	X29817487_answers	X6bdf306d_answers	X2d4e01cb_answers	X76397de2_answers	X3d716c55_answers	X0df24ff8_answers	X21713fb3_answers	X3a13d1de_answers	X17bddad3_answers	X587bdad2_answers	X0a49c20a_answers	X1f5e2f51_answers	X520c0367_answers	X591e9951_answers	X6d61bd43_answers	X00bb2f48_answers	X38ceca30_answers	X6b1ade36_answers	X46cb8386_answers	X268fb49a_answers	X3190a4dd_answers	X40be4c0c_answers	X43326164_answers	X1d974a13_answers	X28e4b13e_answers	X3a7f3825_answers	X34666b50_answers	X1a463ac4_answers	X1384d0fd_answers	X17d4da29_answers	X1261e9b6_answers	X1d38fe2f_answers	X3dba1267_answers	X18054a29_answers	X58917739_answers	X0cfb9a7b_answers	X65740901_answers	X0df730ee_answers	X02f8ee17_answers	X1d0ac115_answers	X4fe33176_answers	X2dd42cda_answers	X7b04e406_answers	X59f3b352_answers	X141cc8bc_answers	X7d43f571_answers	X38e9ec36_answers	X566d7283_answers	X2ea10f54_answers	X34fd93fb_answers	X57604174_answers	X060a47a4_answers
ACYDBNirxYtnUUIYDYUak8k5Bza29hpDLru5r_jW93nVXY2w-G8AX9OZjg-maCKQPg	57	Watch frequently	Dont Use	Mixed/Unsure	2	Somewhat Negative	Dont Use	Somewhat Negative	5	Slightly Disagree	male	Watch frequently	Somewhat Negative	1	4	Dont Use	Strongly Negative	Somewhat Negative	Dont Use	Submit Form	Somewhat Positive	Strongly Negative	Have seen	Watch frequently	Dont Use	Strongly Positive	Sometimes	Less than 1 hour	D) None of the above	More Likely to do drugs|More Violent|Are able to self manage without therapy	Watch frequently	Less than 1 hour	Somewhat Positive	A) The patient sufficiently meets the criteria for a personality disorder	5	2	Mixed/Unsure	Have seen	Strongly Negative	Slightly Agree	4	Less than 3 hours	Slightly Agree	Strongly Positive	Strongly Positive	2	Neutral/No Opinion	A) Bipolar Disorder	2	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	NA	Watch frequently	Yes	Neutral/No Opinion	NA	Yes	Yes
ACYDBNhd_5u4NR61gNUh7zAlPkiB2VgYKpixuDROaZfQ7aFnEPoeK6CUGUVe8Z5YMg	20	Haven't Seen	Dont Use	Mixed/Unsure	3	Neutral/No Opinion	Dont Use	Strongly Positive	3	Neutral	Cisgender female	Haven't Seen	Strongly Positive	1	3	Less than 5 hours	Neutral/No Opinion	Neutral/No Opinion	Less than 1 hour	Submit Form	Neutral/No Opinion	Strongly Positive	Haven't Seen	Haven't Seen	Dont Use	Strongly Positive	Don't Know	Less than 3 hours	A) Borderline Personality Disorder	Are able to self manage without therapy	Haven't Seen	Less than 7 hours	Neutral/No Opinion	B) The patient's symptoms are due to external factors, like workplace stress	4	1	Slightly Agree	Haven't Seen	Strongly Positive	Slightly Agree	1	Less than 1 hour	Slightly Agree	Strongly Positive	Neutral/No Opinion	2	Strongly Positive	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	NA	Haven't Seen	NA	Neutral/No Opinion	NA	NA	NA
ACYDBNjxIzY_5gAk5le5XiyPOKyjVX1avvJScJZTcvzfTboA3lzZMdclj5FE8gdgMA	42	Haven't Seen	Dont Use	Mixed/Unsure	2	Mixed	Dont Use	Somewhat Negative	3	Fully Agree	Male	Haven't Seen	Somewhat Positive	1	2	Dont Use	Somewhat Positive	Mixed	Dont Use	Submit Form	Somewhat Positive	Somewhat Negative	Haven't Seen	Haven't Seen	Dont Use	Somewhat Negative	Never	Dont Use	D) None of the above	NA	Haven't Seen	Dont Use	Somewhat Positive	B) The patient's symptoms are due to external factors, like workplace stress	3	1	Slightly Agree	Haven't Seen	Mixed	Slightly Agree	2	Less than 1 hour	Slightly Agree	Somewhat Negative	Somewhat Positive	3	Somewhat Negative	D) None of the above	3	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	Nil	Haven't Seen	NA	Mixed	NA	NA	NA
ACYDBNhE1ia-FnWsGQRUzAgtl1zV7wlNHKQvuYwkipsUG1MQW4_SrWlg97RFARE5Qw	40	Haven't Seen	Dont Use	Neutral	NA	Neutral/No Opinion	Dont Use	Neutral/No Opinion	NA	Neutral	male	Haven't Seen	Neutral/No Opinion	1	NA	Dont Use	Neutral/No Opinion	Neutral/No Opinion	Dont Use	Submit Form	Neutral/No Opinion	Neutral/No Opinion	Haven't Seen	Haven't Seen	Less than 1 hour	Neutral/No Opinion	Don't Know	Less than 1 hour	NA	NA	Haven't Seen	Less than 1 hour	Neutral/No Opinion	NA	NA	2	Neutral	Haven't Seen	Neutral/No Opinion	Neutral	NA	Less than 1 hour	Neutral	Neutral/No Opinion	Neutral/No Opinion	NA	Neutral/No Opinion	NA	NA	NA	No	Haven't Seen	NA	Neutral/No Opinion	NA	NA	NA
ACYDBNh4ZySRg8Ji-yroRL6B45ZPfBs4ZXm2tZgvVQCueZeznkspuPHf4pU2dQ7MVg	28	Haven't Seen	Less than 5 hours	Slightly Agree	NA	Neutral/No Opinion	Dont Use	Neutral/No Opinion	NA	Slightly Agree	Male	Haven't Seen	Neutral/No Opinion	1	NA	Dont Use	Neutral/No Opinion	Neutral/No Opinion	Dont Use	Submit Form	Neutral/No Opinion	Neutral/No Opinion	Haven't Seen	Haven't Seen	Dont Use	Neutral/No Opinion	Don't Know	Less than 5 hours	NA	Complete tasks at a higher quality than others	Haven't Seen	Less than 5 hours	Neutral/No Opinion	NA	NA	2	Mixed/Unsure	Have been recomended but havent seen	Neutral/No Opinion	Mixed/Unsure	NA	Less than 3 hours	Mixed/Unsure	Neutral/No Opinion	Neutral/No Opinion	NA	Neutral/No Opinion	NA	NA	NA	NA	Haven't Seen	Yes	Neutral/No Opinion	NA	NA	No, go to end
ACYDBNgaZoupkICNKFwkpjPImkYCDWCz2erhUQr-k5MaC4RK4hplpgDg-bfU7ZS1tQ	37	Haven't Seen	Dont Use	Slightly Agree	2	Mixed	Dont Use	Mixed	4	Slightly Agree	Male	Haven't Seen	Somewhat Positive	2	3	Dont Use	Mixed	Mixed	Dont Use	Submit Form	Mixed	Mixed	Haven't Seen	Haven't Seen	Dont Use	Mixed	Rarely	Less than 1 hour	C) A different, or generalised, Personality Disorder	NA	Haven't Seen	Less than 3 hours	Mixed	A) The patient sufficiently meets the criteria for a personality disorder	3	2	Mixed/Unsure	Haven't Seen	Somewhat Positive	Slightly Disagree	3	Less than 3 hours	Mixed/Unsure	Mixed	Somewhat Positive	3	Mixed	C) A Neurological Disorder	4	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	N/A	Haven't Seen	Yes	Mixed	NA	Yes	Yes
ACYDBNiWa9uYrUF_nUxMV7LYd0rdGv3RDdSMl5WroXxEi6pru3zYJXpk_6Iyh2SicQ	18	Haven't Seen	Dont Use	Neutral	3	Somewhat Negative	Dont Use	Strongly Positive	2	Slightly Agree	female	Haven't Seen	Strongly Positive	4	3	Dont Use	Neutral/No Opinion	Somewhat Positive	Dont Use	Submit Form	Somewhat Positive	Somewhat Negative	Watch Occasionally	Haven't Seen	Less than 3 hours	Neutral/No Opinion	Sometimes	Dont Use	B) Narcissistic Personality Disorder	Are more book smart	Haven't Seen	Less than 1 hour	Mixed	A) The patient sufficiently meets the criteria for a personality disorder	4	1	Slightly Agree	Watch Occasionally	Somewhat Positive	Slightly Agree	3	Less than 1 hour	Neutral	Mixed	Strongly Positive	3	Mixed	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Unusual stubbornness of beliefs	no	Haven't Seen	NA	NA	NA	NA	NA
ACYDBNiXQ8RgYbrw-xkO11ZBNyzrayKq4gI18dlWd7SPAmTwzJYlJo_8oWglAHqspg	50	Haven't Seen	Dont Use	NA	NA	NA	Dont Use	NA	NA	NA	Female	Haven't Seen	NA	1	NA	Dont Use	NA	NA	Dont Use	Submit Form	NA	NA	Haven't Seen	Haven't Seen	Dont Use	NA	Always	Less than 3 hours	NA	NA	Haven't Seen	Dont Use	NA	NA	NA	2	NA	Watch Occasionally	NA	NA	NA	Less than 9 hours	NA	NA	NA	NA	NA	NA	NA	NA	Mel Robbins 	Haven't Seen	No, go to end	NA	NA	NA	NA
ACYDBNhzDePl00OuNtfSX4vlPKxtcdELsVKN4aMX6Cus6W5I5pZ4xRXIbBir2Pm-Mw	17	Have seen	Dont Use	Fully Agree	2	Strongly Negative	Dont Use	Mixed	3	Fully Agree	Gurl	Haven't Seen	Strongly Positive	1	3	Dont Use	Neutral/No Opinion	Neutral/No Opinion	Less than 3 hours	Submit Form	Neutral/No Opinion	Strongly Negative	Have been recomended but havent seen	Haven't Seen	Dont Use	Neutral/No Opinion	Don't Know	Less than 7 hours	A) Borderline Personality Disorder	Are able to self manage without therapy	Haven't Seen	Dont Use	Neutral/No Opinion	A) The patient sufficiently meets the criteria for a personality disorder	1	2	Slightly Disagree	Have been recomended but havent seen	Neutral/No Opinion	Slightly Disagree	5	Less than 1 hour	Mixed/Unsure	Neutral/No Opinion	Neutral/No Opinion	3	Neutral/No Opinion	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms	NA	Haven't Seen	NA	Neutral/No Opinion	Half the questions were worded weirdly so idk how accurate my answers are	NA	NA
ACYDBNiNTWe4fwZoB6p48V6jfZ7f72tE7Jor-YjCh3E-dKCc34N3DEOzxuoIH6jayw	18	Haven't Seen	Dont Use	NA	3	NA	Dont Use	NA	3	NA	Male	Haven't Seen	NA	1	3	Dont Use	NA	NA	Dont Use	Submit Form	NA	NA	Haven't Seen	Haven't Seen	Dont Use	NA	Don't Know	Less than 3 hours	D) None of the above	NA	Haven't Seen	Less than 3 hours	NA	NA	3	1	NA	Haven't Seen	NA	NA	3	Less than 1 hour	NA	NA	NA	3	NA	D) None of the above	3	NA	Nope	Haven't Seen	NA	NA	NA	NA	NA
ACYDBNgBszfG7FC-hYxwTJOtYCZp5PkWpQVnSGzslkPObaVm-VsrOp5meDsdzbs2_w	15	Have seen	Less than 1 hour	Fully Agree	3	Mixed	Dont Use	Somewhat Negative	2	Fully Agree	nonbinary/female	Haven't Seen	Mixed	3	3	Less than 10 hours	Mixed	Neutral/No Opinion	Less than 1 hour	Submit Form	Mixed	Strongly Negative	Watch Occasionally	Haven't Seen	Dont Use	Mixed	Don't Know	Atleast 10 hours	D) None of the above	Are less street smart	Haven't Seen	Dont Use	Neutral/No Opinion	A) The patient sufficiently meets the criteria for a personality disorder	4	3	Neutral	Have seen	Mixed	Slightly Agree	4	Dont Use	Slightly Agree	Mixed	Somewhat Positive	4	Somewhat Negative	A) Bipolar Disorder	3	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Unusual stubbornness of beliefs	NA	Haven't Seen	NA	Mixed	NA	NA	NA
ACYDBNirxYtnUUIYDYUak8k5Bza29hpDLru5r_jW93nVXY2w-G8AX9OZjg-maCKQPg	57	Watch frequently	Dont Use	Mixed/Unsure	2	Somewhat Negative	Dont Use	Somewhat Negative	5	Slightly Disagree	male	Watch frequently	Somewhat Negative	1	4	Dont Use	Strongly Negative	Somewhat Negative	Dont Use	Submit Form	Somewhat Positive	Strongly Negative	Have seen	Watch frequently	Dont Use	Strongly Positive	Sometimes	Less than 1 hour	D) None of the above	More Likely to do drugs|More Violent|Are able to self manage without therapy	Watch frequently	Less than 1 hour	Somewhat Positive	A) The patient sufficiently meets the criteria for a personality disorder	5	2	Mixed/Unsure	Have seen	Strongly Negative	Slightly Agree	4	Less than 3 hours	Slightly Agree	Strongly Positive	Strongly Positive	2	Neutral/No Opinion	A) Bipolar Disorder	2	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	NA	Watch frequently	Yes	Neutral/No Opinion	NA	Yes	Yes
ACYDBNhd_5u4NR61gNUh7zAlPkiB2VgYKpixuDROaZfQ7aFnEPoeK6CUGUVe8Z5YMg	20	Haven't Seen	Dont Use	Mixed/Unsure	3	Neutral/No Opinion	Dont Use	Strongly Positive	3	Neutral	Cisgender female	Haven't Seen	Strongly Positive	1	3	Less than 5 hours	Neutral/No Opinion	Neutral/No Opinion	Less than 1 hour	Submit Form	Neutral/No Opinion	Strongly Positive	Haven't Seen	Haven't Seen	Dont Use	Strongly Positive	Don't Know	Less than 3 hours	A) Borderline Personality Disorder	Are able to self manage without therapy	Haven't Seen	Less than 7 hours	Neutral/No Opinion	B) The patient's symptoms are due to external factors, like workplace stress	4	1	Slightly Agree	Haven't Seen	Strongly Positive	Slightly Agree	1	Less than 1 hour	Slightly Agree	Strongly Positive	Neutral/No Opinion	2	Strongly Positive	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	NA	Haven't Seen	NA	Neutral/No Opinion	NA	NA	NA
ACYDBNjxIzY_5gAk5le5XiyPOKyjVX1avvJScJZTcvzfTboA3lzZMdclj5FE8gdgMA	42	Haven't Seen	Dont Use	Mixed/Unsure	2	Mixed	Dont Use	Somewhat Negative	3	Fully Agree	Male	Haven't Seen	Somewhat Positive	1	2	Dont Use	Somewhat Positive	Mixed	Dont Use	Submit Form	Somewhat Positive	Somewhat Negative	Haven't Seen	Haven't Seen	Dont Use	Somewhat Negative	Never	Dont Use	D) None of the above	NA	Haven't Seen	Dont Use	Somewhat Positive	B) The patient's symptoms are due to external factors, like workplace stress	3	1	Slightly Agree	Haven't Seen	Mixed	Slightly Agree	2	Less than 1 hour	Slightly Agree	Somewhat Negative	Somewhat Positive	3	Somewhat Negative	D) None of the above	3	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	Nil	Haven't Seen	NA	Mixed	NA	NA	NA
ACYDBNhE1ia-FnWsGQRUzAgtl1zV7wlNHKQvuYwkipsUG1MQW4_SrWlg97RFARE5Qw	40	Haven't Seen	Dont Use	Neutral	NA	Neutral/No Opinion	Dont Use	Neutral/No Opinion	NA	Neutral	male	Haven't Seen	Neutral/No Opinion	1	NA	Dont Use	Neutral/No Opinion	Neutral/No Opinion	Dont Use	Submit Form	Neutral/No Opinion	Neutral/No Opinion	Haven't Seen	Haven't Seen	Less than 1 hour	Neutral/No Opinion	Don't Know	Less than 1 hour	NA	NA	Haven't Seen	Less than 1 hour	Neutral/No Opinion	NA	NA	2	Neutral	Haven't Seen	Neutral/No Opinion	Neutral	NA	Less than 1 hour	Neutral	Neutral/No Opinion	Neutral/No Opinion	NA	Neutral/No Opinion	NA	NA	NA	No	Haven't Seen	NA	Neutral/No Opinion	NA	NA	NA
ACYDBNh4ZySRg8Ji-yroRL6B45ZPfBs4ZXm2tZgvVQCueZeznkspuPHf4pU2dQ7MVg	28	Haven't Seen	Less than 5 hours	Slightly Agree	NA	Neutral/No Opinion	Dont Use	Neutral/No Opinion	NA	Slightly Agree	Male	Haven't Seen	Neutral/No Opinion	1	NA	Dont Use	Neutral/No Opinion	Neutral/No Opinion	Dont Use	Submit Form	Neutral/No Opinion	Neutral/No Opinion	Haven't Seen	Haven't Seen	Dont Use	Neutral/No Opinion	Don't Know	Less than 5 hours	NA	Complete tasks at a higher quality than others	Haven't Seen	Less than 5 hours	Neutral/No Opinion	NA	NA	2	Mixed/Unsure	Have been recomended but havent seen	Neutral/No Opinion	Mixed/Unsure	NA	Less than 3 hours	Mixed/Unsure	Neutral/No Opinion	Neutral/No Opinion	NA	Neutral/No Opinion	NA	NA	NA	NA	Haven't Seen	Yes	Neutral/No Opinion	NA	NA	No, go to end
ACYDBNgaZoupkICNKFwkpjPImkYCDWCz2erhUQr-k5MaC4RK4hplpgDg-bfU7ZS1tQ	37	Haven't Seen	Dont Use	Slightly Agree	2	Mixed	Dont Use	Mixed	4	Slightly Agree	Male	Haven't Seen	Somewhat Positive	2	3	Dont Use	Mixed	Mixed	Dont Use	Submit Form	Mixed	Mixed	Haven't Seen	Haven't Seen	Dont Use	Mixed	Rarely	Less than 1 hour	C) A different, or generalised, Personality Disorder	NA	Haven't Seen	Less than 3 hours	Mixed	A) The patient sufficiently meets the criteria for a personality disorder	3	2	Mixed/Unsure	Haven't Seen	Somewhat Positive	Slightly Disagree	3	Less than 3 hours	Mixed/Unsure	Mixed	Somewhat Positive	3	Mixed	C) A Neurological Disorder	4	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	N/A	Haven't Seen	Yes	Mixed	NA	Yes	Yes
ACYDBNiWa9uYrUF_nUxMV7LYd0rdGv3RDdSMl5WroXxEi6pru3zYJXpk_6Iyh2SicQ	18	Haven't Seen	Dont Use	Neutral	3	Somewhat Negative	Dont Use	Strongly Positive	2	Slightly Agree	female	Haven't Seen	Strongly Positive	4	3	Dont Use	Neutral/No Opinion	Somewhat Positive	Dont Use	Submit Form	Somewhat Positive	Somewhat Negative	Watch Occasionally	Haven't Seen	Less than 3 hours	Neutral/No Opinion	Sometimes	Dont Use	B) Narcissistic Personality Disorder	Are more book smart	Haven't Seen	Less than 1 hour	Mixed	A) The patient sufficiently meets the criteria for a personality disorder	4	1	Slightly Agree	Watch Occasionally	Somewhat Positive	Slightly Agree	3	Less than 1 hour	Neutral	Mixed	Strongly Positive	3	Mixed	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Unusual stubbornness of beliefs	no	Haven't Seen	NA	NA	NA	NA	NA
ACYDBNiXQ8RgYbrw-xkO11ZBNyzrayKq4gI18dlWd7SPAmTwzJYlJo_8oWglAHqspg	50	Haven't Seen	Dont Use	NA	NA	NA	Dont Use	NA	NA	NA	Female	Haven't Seen	NA	1	NA	Dont Use	NA	NA	Dont Use	Submit Form	NA	NA	Haven't Seen	Haven't Seen	Dont Use	NA	Always	Less than 3 hours	NA	NA	Haven't Seen	Dont Use	NA	NA	NA	2	NA	Watch Occasionally	NA	NA	NA	Less than 9 hours	NA	NA	NA	NA	NA	NA	NA	NA	Mel Robbins 	Haven't Seen	No, go to end	NA	NA	NA	NA
ACYDBNhzDePl00OuNtfSX4vlPKxtcdELsVKN4aMX6Cus6W5I5pZ4xRXIbBir2Pm-Mw	17	Have seen	Dont Use	Fully Agree	2	Strongly Negative	Dont Use	Mixed	3	Fully Agree	Gurl	Haven't Seen	Strongly Positive	1	3	Dont Use	Neutral/No Opinion	Neutral/No Opinion	Less than 3 hours	Submit Form	Neutral/No Opinion	Strongly Negative	Have been recomended but havent seen	Haven't Seen	Dont Use	Neutral/No Opinion	Don't Know	Less than 7 hours	A) Borderline Personality Disorder	Are able to self manage without therapy	Haven't Seen	Dont Use	Neutral/No Opinion	A) The patient sufficiently meets the criteria for a personality disorder	1	2	Slightly Disagree	Have been recomended but havent seen	Neutral/No Opinion	Slightly Disagree	5	Less than 1 hour	Mixed/Unsure	Neutral/No Opinion	Neutral/No Opinion	3	Neutral/No Opinion	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms	NA	Haven't Seen	NA	Neutral/No Opinion	Half the questions were worded weirdly so idk how accurate my answers are	NA	NA
ACYDBNiNTWe4fwZoB6p48V6jfZ7f72tE7Jor-YjCh3E-dKCc34N3DEOzxuoIH6jayw	18	Haven't Seen	Dont Use	NA	3	NA	Dont Use	NA	3	NA	Male	Haven't Seen	NA	1	3	Dont Use	NA	NA	Dont Use	Submit Form	NA	NA	Haven't Seen	Haven't Seen	Dont Use	NA	Don't Know	Less than 3 hours	D) None of the above	NA	Haven't Seen	Less than 3 hours	NA	NA	3	1	NA	Haven't Seen	NA	NA	3	Less than 1 hour	NA	NA	NA	3	NA	D) None of the above	3	NA	Nope	Haven't Seen	NA	NA	NA	NA	NA
ACYDBNgBszfG7FC-hYxwTJOtYCZp5PkWpQVnSGzslkPObaVm-VsrOp5meDsdzbs2_w	15	Have seen	Less than 1 hour	Fully Agree	3	Mixed	Dont Use	Somewhat Negative	2	Fully Agree	nonbinary/female	Haven't Seen	Mixed	3	3	Less than 10 hours	Mixed	Neutral/No Opinion	Less than 1 hour	Submit Form	Mixed	Strongly Negative	Watch Occasionally	Haven't Seen	Dont Use	Mixed	Don't Know	Atleast 10 hours	D) None of the above	Are less street smart	Haven't Seen	Dont Use	Neutral/No Opinion	A) The patient sufficiently meets the criteria for a personality disorder	4	3	Neutral	Have seen	Mixed	Slightly Agree	4	Dont Use	Slightly Agree	Mixed	Somewhat Positive	4	Somewhat Negative	A) Bipolar Disorder	3	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Unusual stubbornness of beliefs	NA	Haven't Seen	NA	Mixed	NA	NA	NA
ACYDBNirxYtnUUIYDYUak8k5Bza29hpDLru5r_jW93nVXY2w-G8AX9OZjg-maCKQPg	57	Watch frequently	Dont Use	Mixed/Unsure	2	Somewhat Negative	Dont Use	Somewhat Negative	5	Slightly Disagree	male	Watch frequently	Somewhat Negative	1	4	Dont Use	Strongly Negative	Somewhat Negative	Dont Use	Submit Form	Somewhat Positive	Strongly Negative	Have seen	Watch frequently	Dont Use	Strongly Positive	Sometimes	Less than 1 hour	D) None of the above	More Likely to do drugs|More Violent|Are able to self manage without therapy	Watch frequently	Less than 1 hour	Somewhat Positive	A) The patient sufficiently meets the criteria for a personality disorder	5	2	Mixed/Unsure	Have seen	Strongly Negative	Slightly Agree	4	Less than 3 hours	Slightly Agree	Strongly Positive	Strongly Positive	2	Neutral/No Opinion	A) Bipolar Disorder	2	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Impairment in understanding of social norms|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	NA	Watch frequently	Yes	Neutral/No Opinion	NA	Yes	Yes
ACYDBNhd_5u4NR61gNUh7zAlPkiB2VgYKpixuDROaZfQ7aFnEPoeK6CUGUVe8Z5YMg	20	Haven't Seen	Dont Use	Mixed/Unsure	3	Neutral/No Opinion	Dont Use	Strongly Positive	3	Neutral	Cisgender female	Haven't Seen	Strongly Positive	1	3	Less than 5 hours	Neutral/No Opinion	Neutral/No Opinion	Less than 1 hour	Submit Form	Neutral/No Opinion	Strongly Positive	Haven't Seen	Haven't Seen	Dont Use	Strongly Positive	Don't Know	Less than 3 hours	A) Borderline Personality Disorder	Are able to self manage without therapy	Haven't Seen	Less than 7 hours	Neutral/No Opinion	B) The patient's symptoms are due to external factors, like workplace stress	4	1	Slightly Agree	Haven't Seen	Strongly Positive	Slightly Agree	1	Less than 1 hour	Slightly Agree	Strongly Positive	Neutral/No Opinion	2	Strongly Positive	A) Bipolar Disorder	4	Impairment in interpersonal relationships|Tendency towards manipulative behaviour, conscious or not|Impairment in emotional stability and self-regulation, suppressive or overt|Aggressive tenendies|Passive tendencies|Unusual stubbornness of beliefs|Unusual weakness of beliefs	NA	Haven't Seen	NA	Neutral/No Opinion	NA	NA	NA
